Model,FPS,,
model_explorer_espcn_x4_c92622cdedd9a20119a85a90d9b0984c_Hailo,677.4211,,
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub_1,2337.058,,
model_explorer_joshi-swetam_Flower-Recognition-AI-ML-Model_GitHub_1,955.5216,,
model_explorer_TiVo_dts-studio_GitHub_12,2307.981,,
model_explorer_janantala_senior-detection_GitHub,2062.849,,
model_explorer_arthurvalls_plant-sickness-detection_GitHub,1444.982,,
model_explorer_RevTpark_pokeDex-app_GitHub_1,1696.662,,
model_explorer_SuavePirate_FaceONNX.Models_GitHub_5,2373.815,,
model_explorer_Kotetsu0000_JavaOthello_GitHub_1,2316.578,,
model_explorer_hwajlee_TIL_GitHub_3,2316.591,,
model_explorer_mobilenet_v1_1.0_128_quantized_26340ba87df7d805f0c46929918d6588_TFHub,502.6553,,
model_explorer_greenelab_core-accessory-interactome_GitHub,2356.7,,
model_explorer_ultraface_320_local_model,754.4429,,
model_explorer_onnx_models_GitHub_124,1111.814,,
model_explorer_mobilenet_v1_0.50_224_ed590e5399cd02e04aa74a191f4ccab2_TFHub,1065.656,,
model_explorer_onnx_models_GitHub_12,1068.73,,
model_explorer_MobileNetV1_62477226e198368be957058d89d81b7f_Coral,1556.35,,
model_explorer_imagenet_mobilenet_v3_small_100_224_classification_962b115180de6f0edbd74871053f89f5_TFHub,326.1784,,
model_explorer_Dense-Head-Pose-Estimation_da347b73a0c6aac2a6aa3236741597e9_PINTO_5,2268.818,,
model_explorer_nomadz-ethz_nomadz-code-release_GitHub,2451.075,,
model_explorer_greenelab_generic-expression-patterns_GitHub_1,2294.916,,
model_explorer_mobilenet_v1_0.75_160_quantized_b47553037d67375f1b167a5bbc05c08f_TFHub,2015.239,,
model_explorer_UltraLightweightFaceDetectionslim320_5fa4898fe882dc1d1fa3e0202f18d1aa_OpenVINO,757.4432,,
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_2c0eba0feb6aaec029195a28ed4d8f50_TFHub,326.0482,,
model_explorer_utopiaZhang_devops_for_datascience_GitHub_1,2222.317,,
model_explorer_ArmanNavodia_PlantDiseaseDetectionModel_GitHub,229.7237,,
model_explorer_mobilenet_v1_1.0_128_46110b795dab29e40521142c283e95ec_TFHub,2276.136,,
model_explorer_Preeti-sahani_smoke-fire-detector_GitHub,931.6825,,
model_explorer_rehat-app_Deploy-ML_GitHub,726.2585,,
model_explorer_espcn_x3_db0bbbfcb4191e0fd31750e86ffd5c79_Hailo,406.8249,,
model_explorer_opencv_opencv_zoo_GitHub_14,1082.488,,
model_explorer_mobilenet_v1_0.50_128_4e0afb47123ebb97af6940f48f138e48_TFHub,2311.268,,
model_explorer_YuNet_62443df09472306e47a98f70b9922e9e_PINTO,2467.093,,
model_explorer_mnasnet_1.0_128_d9d0f6ab19d6ee2aa6936237bde17502_TFHub,2280.872,,
model_explorer_chess_alphazero_community_local_model,2166.043,,
model_explorer_mobilenet_v1_0.75_192_8ef21fc592e1d5359817f3407298dcab_TFHub,1554.709,,
model_explorer_emza-vs_ModelZoo_GitHub,2244.941,,
model_explorer_URetinex-Net_4ac8242609816866ddfacc736328807a_PINTO_42,8.049088,,
model_explorer_wilsonloo_faceEmotionCppLinux_GitHub_2,1542.545,,
model_explorer_mp_hand_landmark_lite_local_model,1070.344,,
model_explorer_wilsonloo_faceEmotionAndroid_GitHub_1,1552.743,,
model_explorer_keonroohparvar_AI_ChessEngine_GitHub,2382.372,,
model_explorer_expression_vgg13_local_model,426.0365,,
model_explorer_csTTRX_coulb-arif_GitHub,1090.249,,
model_explorer_imagenet_mobilenet_v1_050_224_classification_003f32bbe2c68e075c0157b396be993d_TFHub,1079.152,,
model_explorer_thoughtworksarts_EmoPy_GitHub,583.5474,,
model_explorer_onnx_models_GitHub_67,2427.973,,
model_explorer_K-Team-Coders_AfterburnerSQL_GitHub,2308.403,,
model_explorer_openvinotoolkit_openvino_GitHub_9,1114.198,,
model_explorer_MoveNet.SinglePose.Lightning_b2b9000f4a4bb5fb73a68546a3b9b3d6_Coral,516.0284,,
model_explorer_rajghadi1_MDP_GitHub,403.4306,,
model_explorer_saicharankr_Realtime-Facial-Expression-Recognition_GitHub,240.3331,,
model_explorer_openvinotoolkit_openvino_GitHub_17,1069.935,,
model_explorer_arcface_mobilefacenet_885ebf841fbfa97fd3ac991212337c2d_Hailo,476.8013,,
model_explorer_yuradanyliuk_AutomaticParking_GitHub,2586.331,,
model_explorer_wilsonloo_faceEmotionCppLinux_GitHub,1554.561,,
model_explorer_SKT27182_portfolio_GitHub_9,2311.884,,
model_explorer_mobilenet_v1_0.25_192_quantized_e90b0c4ed2199993b5be63199cf4e3d4_TFHub,1555.262,,
model_explorer_kuff_medslr_GitHub_1,2312.134,,
model_explorer_mobilenet_v1_1.0_192_quantized_3e6b2801733a2c9d44896a61633237df_TFHub,834.901,,
model_explorer_mp_face_landmark_local_model,1552.086,,
model_explorer_AdwitM_Sign-Language-Recognition_GitHub,299.7398,,
model_explorer_batu_ProjNar_GitHub_12,2315.356,,
model_explorer_raytheonbbn_tak-ml_GitHub_2,1065.108,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_8,515.6815,,
model_explorer_MobileStyleGAN_97ee8f4ce997135b6de496d9589b2564_PINTO_2,2431.644,,
model_explorer_mobilenet_v1_0.25_128_quantized_59d519440f9053ba58cb93b7b7fcdd55_TFHub,2319.253,,
model_explorer_ersilia-os_image-based-dl_GitHub_1,808.0841,,
model_explorer_squeezenet_bypass_local_model,830.7026,,
model_explorer_ShubhmKaale_CNN-Image-Classification-Heroku-Cloud-Deployment_GitHub,922.9395,,
model_explorer_YAMNet_4a5f991ff1ae5529ac2a9166ac5dc226_PINTO_13,2476.877,,
model_explorer_mobilenet_v1_1.0_192_e1649f4cbdd3dc63f83a3630b782d4e6_TFHub,1548.995,,
model_explorer_mp_face_detection_full_range_sparse_local_model,748.2597,,
model_explorer_aiy_vision_classifier_birds_V1_93541cd953e436eb19ee23b6122f16f6_TFHub,1066.616,,
model_explorer_fast_depth_7cb9fc9994feba47c2b2b47aacdd73b8_Hailo,326.6663,,
model_explorer_inferenceengine_shadernn_GitHub_7,1086.046,,
model_explorer_ACR-Loss_4e93bc740122b8c4fa1a02160a42912b_PINTO,1078.89,,
model_explorer_ThomAub_redisai-rs_GitHub_1,2295.316,,
model_explorer_opencv_opencv_zoo_GitHub_36,1115.619,,
model_explorer_mp_hand_landmark_full_local_model,1098.149,,
model_explorer_batu_ProjNar_GitHub_5,2451.181,,
model_explorer_aiy_vision_classifier_plants_V1_9b84407188105ac5c24cd2e6db3b2cbc_TFHub,1093.908,,
model_explorer_TiVo_dts-studio_GitHub_10,1107.43,,
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_4,164.5924,,
model_explorer_onnx_models_GitHub_142,417.5229,,
model_explorer_MobileNetV2_5e4e1a101e8f7a5cd6956ae8f378d5c8_Coral,1095.429,,
model_explorer_openvinotoolkit_openvino_GitHub_27,2303.641,,
model_explorer_FRILL_d830529e1248d3d75f95c02da4cfebf8_PINTO_5,2271.58,,
model_explorer_raytheonbbn_tak-ml_GitHub_4,164.563,,
model_explorer_steverab_failing-loudly_GitHub_1,2467.943,,
model_explorer_netsec917_Hikari-IDS_GitHub_3,2310.087,,
model_explorer_kuff_medslr_GitHub,2312.994,,
model_explorer_ShufflenetV2x1.0_c665fabb58ff94de6df98d89c25e5ae9_OpenVINO,1084.105,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_21,1106.308,,
