Model,FPS,,
model_explorer_edgetpu_vision_mobilenet-edgetpu-v2_tiny_6f8c5287d688a357bf94be4ad394ce4f_TFHub,1083.203,,
model_explorer_batu_ProjNar_GitHub_8,2303.171,,
model_explorer_onnx_models_GitHub_156,321.7776,,
model_explorer_SSDMobileNetV1_6f2707aefd6046ca5b21381ad0ca9b41_Coral,570.4306,,
model_explorer_palak2665_Express-U_GitHub_1,2297.453,,
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_1,256.3332,,
model_explorer_american-sign-language_66f5c57e44be1bf54820dd40fa1cefe3_TFHub,1063.61,,
model_explorer_JosephCatrambone_pixelbox_GitHub_1,391.3185,,
model_explorer_YOLOv5_Face_36483c4542b0ef195191ad8329579095_PINTO_1,484.3081,,
model_explorer_noisebridge_marys-lamb_GitHub,168.2383,,
model_explorer_inferenceengine_shadernn_GitHub_4,2296.635,,
model_explorer_astrorama_SourceXtractor-litmus_GitHub,133.3165,,
model_explorer_Sao-jung-listens-well_WIT_GitHub_2,281.6679,,
model_explorer_teplandr_Visioneer_GitHub_1,193.1714,,
model_explorer_imagenet_mobilenet_v1_025_128_classification_7c40dc544afd13a4a4b6d9cc65c5129c_TFHub,2308.746,,
model_explorer_yuradanyliuk_AutonomousParking_GitHub,2473.042,,
model_explorer_aiy_vision_classifier_food_V1_77768c4b0a564751dcef96a209696dfb_TFHub,1559.04,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_5,722.9756,,
model_explorer_batu_ProjNar_GitHub_15,2313.897,,
model_explorer_RegNetX006_4b8366d2a1caf6239fe8c4204e1c2321_KerasApps,83.49247,,
model_explorer_tddfa_mobilenet_v1_4fac64eae00af43aa91a0a9347d75e60_Hailo,2308.368,,
model_explorer_mshayganfar_chista_GitHub_3,2299.675,,
model_explorer_M-Borsuk_CNN-Pneumonia-Classification_GitHub,1778.111,,
model_explorer_tiny_yolov3_51137831371ca637c3745da0cc3f8983_Hailo,338.7891,,
model_explorer_islem-esi_DeepMalwareDetector_GitHub,2319.941,,
model_explorer_rainbowbismuth_bird-vision_GitHub,2343.228,,
model_explorer_netsec917_Hikari-IDS_GitHub_5,2461.697,,
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_31c913c9c7e4305a1ae71b220741a1ab_TFHub,326.2658,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_4,1541.969,,
model_explorer_mp_object_detection_3d_camera_local_model,1082.6,,
model_explorer_yolov3_tiny_local_model,338.6251,,
model_explorer_autowarefoundation_modelzoo_GitHub_1,172.2639,,
model_explorer_SFace_4e5c5070fa3991c22232cce70e83cf24_PINTO_11,1333.618,,
model_explorer_MobileNet_5fe9891458ef6e712804058a3fe75842_KerasApps,1069.778,,
model_explorer_imagenet_mobilenet_v3_small_100_224_feature_vector_6dd0531639674eb62e502bdadc46e834_TFHub,326.1308,,
model_explorer_gordinmitya_dnn_benchmark_GitHub_3,1091.736,,
model_explorer_broadinstitute_ml4h_GitHub_1,91.58512,,
model_explorer_YuNetV2_7211ef47fdd0f316eea7a167c2838751_PINTO_7,146.7658,,
model_explorer_TiVo_dts-studio_GitHub_5,1535.269,,
model_explorer_hotg-ai_rune_GitHub_2,2330.57,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_35,2298.032,,
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub_1,2316.067,,
model_explorer_asus4_tf-lite-unity-sample_GitHub,358.13,,
model_explorer_steverab_failing-loudly_GitHub_3,2321.574,,
model_explorer_kevin-emmatty_healthcare_GitHub,122.4653,,
model_explorer_InceptionV1_8a9bab243e0778a9c24944003dcdcbed_Coral,617.8064,,
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_5,306.7085,,
model_explorer_repvgg_a0_person_reid_512_ef97e10f32d020026aa5253d910eb1cb_Hailo,454.8197,,
model_explorer_mobilenet_v1_0.75_192_quantized_2641307dc0f3513d85b34dbaabb45c5d_TFHub,1423.148,,
model_explorer_kackey0-1_project_ai_GitHub,2312.644,,
model_explorer_jaigane6387_images_classifier_GitHub,120.3538,,
model_explorer_mobilenetv1_ssd_local_model,557.5607,,
model_explorer_SSDMobileNetV2_589403945254b2695574dd897779538d_Coral,539.4507,,
model_explorer_hand_recrop_d0cd901ee9e65a855937a0823a3a68b6_PINTO_6,896.7381,,
model_explorer_M-LSD_068202de165844f96307a44e9e1910f8_PINTO,495.4084,,
model_explorer_regnety_200mf_ce8054f7a23d2098f8c1b54335bbc773_Hailo,1041.981,,
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_2,2301.459,,
model_explorer_lewiuberg_tumorclass.info_GitHub,1074.71,,
model_explorer_ltiao_zalando-classification_GitHub,2315.223,,
model_explorer_EfficientNet-EdgeTpu(S)*_d16cb6c56695418ad7344e294464862c_Coral,398.3049,,
model_explorer_models_edgetpu_checkpoint_and_tflite_vision_segmentation-edgetpu_tflite_default_argmax_cd5cb2f80a903284831aa2b70cc7a8f3_PINTO_2,582.1502,,
model_explorer_Light-SERNet_521ccf093256c61a558f00016e572873_PINTO_3,1499.773,,
model_explorer_batu_ProjNar_GitHub_2,2439.096,,
model_explorer_mp_pose_landmark_lite_local_model,281.737,,
model_explorer_SwaggyMacro_MiraiNsfwBot_GitHub_1,1095.426,,
model_explorer_resnet_v1_18_e06eb310c808dcdd235188aec6179f3d_Hailo,319.5986,,
model_explorer_SatyamVyas00_Cloudburst-Prediction-using-GAF-and-CNN_GitHub_1,542.4916,,
model_explorer_FaceBoxes_6e1df205b97688e34bef8e2e23544af2_OpenVINO,57.5665,,
model_explorer_onnx_models_GitHub_61,2319.073,,
model_explorer_Emotion_FERPlus_1a14c09c00f0f31d4c82d35e7713daa0_PINTO_8,394.8629,,
model_explorer_aqibbangash_image-search-python_GitHub,750.0278,,
model_explorer_MobileNetV1_65b6e70bda63213f7d7009c0f101127f_Coral,1067.442,,
model_explorer_netsec917_Hikari-IDS_GitHub,2335.052,,
model_explorer_LiteTrack_b19f7faeca97c37f3a569028f1f6ddc7_PINTO_4,1561.506,,
model_explorer_IINemo_isanlp_srl_framebank_GitHub,1753.441,,
model_explorer_centernet_mobilenetv2_local_model,236.4167,,
model_explorer_drminix_facialpointviewer_GitHub,2295.007,,
model_explorer_ltiao_zalando-classification_GitHub_2,2319.797,,
model_explorer_resnet_v2_18_7c2042519d9e892a23977db189205cdf_Hailo,319.3919,,
model_explorer_mobilenet_v1_0.75_224_b9e13f62ae98d9c509bfb99fb381f7e6_TFHub,1095.362,,
model_explorer_sebastianstarke_AI4Animation_GitHub,2321.476,,
model_explorer_ltiao_zalando-classification_GitHub_1,2307.205,,
model_explorer_yeahaluu_Public_Sinsunai_GitHub,60.73587,,
model_explorer_mp_iris_landmark_local_model,2525.217,,
model_explorer_mp_pose_landmark_full_local_model,191.4523,,
model_explorer_edgetpu_vision_mobilenet-edgetpu-v2_xs_7fd60912fbde9b2be04426045773e6a5_TFHub,1074.542,,
model_explorer_xmartlabs_malaria-detector_GitHub_1,2294.367,,
model_explorer_wilsonloo_faceEmotionCppLinux_GitHub_1,1554.931,,
model_explorer_inferenceengine_shadernn_GitHub_5,338.4257,,
k_real_mobilenetv3_small_minimalistic_performance,1066.398,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_22,1083.819,,
model_explorer_ankurdave_bird-models_GitHub_1,146.5158,,
model_explorer_MobileNetV3_ec9cf19c660f0e3acbbdadb13bbbaadf_Coral,1052.555,,
model_explorer_steverab_failing-loudly_GitHub,2292.237,,
model_explorer_TiVo_dts-studio_GitHub,504.4367,,
model_explorer_person-attributes-recognition-crossroad-0230_a27483802aed8e6996feca25bd5e430c_PINTO_7,2517.097,,
model_explorer_broadinstitute_ml4h_GitHub_3,495.145,,
model_explorer_Rhoban_env_public_GitHub,2407.697,,
model_explorer_RegNetY004_134b21ee2691ffc43d0339f3487b948e_KerasApps,286.8523,,
model_explorer_cstub_ml-ids_GitHub,2300.828,,
model_explorer_onnx_models_GitHub_36,1066.801,,
model_explorer_FabianGroeger96_cnn-number-detection_GitHub,2321.579,,
model_explorer_RegNetX004_e9434bdaa5ac63e78d2cdd1aa41ace58_KerasApps,742.787,,
model_explorer_HBONet1.0_66b1ecc71c056996ce9c0a8470aedc86_OpenVINO,872.2545,,
model_explorer_mobilenet_v1_0.25_128_f8b395e8c5c1c18dcb10ff89c84267d5_TFHub,2299.645,,
model_explorer_disease-classification_2087a4b67f9d3d4b5efc168d9263eef0_TFHub,562.7982,,
model_explorer_gordinmitya_dnn_benchmark_GitHub,1093.824,,
model_explorer_repvgg_a1_6a1c3969346e25860f08c674738e0e67_Hailo,487.3223,,
model_explorer_TiVo_dts-studio_GitHub_6,666.2674,,
model_explorer_kuff_medslr_GitHub_2,2334.979,,
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_13,303.9167,,
model_explorer_ssd_mobilenet_v2_mnasfpn_shared_box_predictor_d233be6616284890814c9c59cf20e346_PINTO,167.8225,,
model_explorer_ZJU-lishuang_yolov5_tensorrt_GitHub_1,143.662,,
model_explorer_Sao-jung-listens-well_WIT_GitHub_12,887.842,,
model_explorer_face_landmark_11e7e3fbb51ee269b0caadc0a051b57f_PINTO_1,2068.185,,
model_explorer_onnx_models_GitHub_52,133.3212,,
model_explorer_doch2_AE-DNN-model-data_GitHub,2372.494,,
model_explorer_MST-Robotics_2022-Vision_GitHub,144.2845,,
model_explorer_NSFW_a14729dd4a8a86ef5a46be3f464b78a2_PINTO_10,972.8584,,
model_explorer_YuNet_62443df09472306e47a98f70b9922e9e_PINTO_7,2422.026,,
model_explorer_onnx_models_GitHub_103,1103.787,,
model_explorer_ssdmobilenetv2_fpnlite_local_model,218.1344,,
model_explorer_kneron_ONNX_Convertor_GitHub,1101.903,,
model_explorer_batu_ProjNar_GitHub_13,2309.557,,
model_explorer_moshimeow_mercury_steamvr_driver_GitHub_1,2394.184,,
model_explorer_onnx_models_GitHub_144,319.5987,,
model_explorer_ankurdave_bird-models_GitHub,143.8806,,
model_explorer_calderon0423_Perfectly_Paired_GitHub_1,2328.474,,
model_explorer_imagenet_mobilenet_v3_small_075_224_classification_ba1a0bff8e0c1fc1716e3922affd6983_TFHub,1073.476,,
model_explorer_shaolang_ml-zoomcamp_GitHub,2351.22,,
model_explorer_DivyaArunthathiar_Alzheimer-Detection_GitHub_1,1974.442,,
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_d25888f018f2ec62d432d6eb60984f0d_TFHub,1081.23,,
model_explorer_arbitrary-image-stylization-inceptionv3_fead3bf44d449aa6f36d6d2b49aadeb8_TFHub,368.1013,,
model_explorer_batu_ProjNar_GitHub_17,2327.394,,
model_explorer_BadagalaAdarsh_ASL_GitHub_1,1078.233,,
model_explorer_yichenghuang980_emotion-detection_GitHub,2240.193,,
model_explorer_openvinotoolkit_openvino_GitHub_28,2325.915,,
k_real_mobilenetv3_small_performance,1062.838,,
model_explorer_SSDMobileNetV2_a2ce86d9062646dc52501e487aae8a9f_Coral,564.2014,,
model_explorer_naruto_handsign_detection_922515cecfa85eae99fc2b348f04d906_PINTO_5,362.6614,,
model_explorer_yolov5s_leaky_416_local_model,304.4752,,
model_explorer_utopiaZhang_devops_for_datascience_GitHub,2232.022,,
model_explorer_har932_Pneumonia-Detection_GitHub,114.6862,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_23,1067.27,,
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_3,245.1611,,
model_explorer_openvinotoolkit_openvino_GitHub_23,477.7109,,
model_explorer_Mukuntanku_Cat-Dog-Classification-Detection_GitHub,2294.429,,
model_explorer_singhjsw_Building-Damage-Detection-based-on-Post-Hurricane-Satellite-Imagery-using-Transfer-Learning-and-Conv_GitHub,1192.191,,
model_explorer_pspnet_local_model,68.74639,,
model_explorer_batu_ProjNar_GitHub_11,2295.198,,
model_explorer_SKT27182_portfolio_GitHub_5,2323.748,,
model_explorer_andromaqui_remote_handGesture_deviceControl_GitHub_1,2291.804,,
model_explorer_face-detection-adas-0001_17ded224973f9cee1702b8fe01a4380c_PINTO_4,234.6441,,
model_explorer_mobilenet_v1_0.75_160_9512a8f721691dc534f496d684af3db2_TFHub,2020.927,,
model_explorer_Sao-jung-listens-well_WIT_GitHub_6,226.6846,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_10,243.2245,,
model_explorer_Sao-jung-listens-well_WIT_GitHub_14,894.3453,,
model_explorer_onnx_models_GitHub_83,1090.789,,
model_explorer_yolox_nano_ti_lite_local_model,342.3869,,
model_explorer_unet_mobilenet_local_model,107.8103,,
model_explorer_mshayganfar_chista_GitHub_2,2300.124,,
model_explorer_TiVo_dts-studio_GitHub_13,2492.778,,
model_explorer_opencv_opencv_zoo_GitHub_13,289.9377,,
model_explorer_SuavePirate_FaceONNX.Models_GitHub_4,292.6959,,
model_explorer_mp_object_detection_3d_cup_local_model,1076.142,,
model_explorer_aiy_vision_classifier_insects_V1_3781f9a5abee268c189cf64e521c92c7_TFHub,1078.551,,
model_explorer_scrfd_500m_d0f788434ac4b3f9ec710402f89ed89d_Hailo,147.3802,,
model_explorer_mshayganfar_chista_GitHub,2300.75,,
model_explorer_IBM_mini-era_GitHub,2331.591,,
model_explorer_mobilenet_v1_0.75_128_38e81efa72cdbe49642b2cc5364bf6db_TFHub,2286.908,,
model_explorer_avinesh1906_etherBots-ML-API_GitHub,49.85433,,
model_explorer_mp_object_detection_3d_sneakers_local_model,1081.589,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_45,304.2195,,
model_explorer_hwajlee_TIL_GitHub_5,2326.898,,
model_explorer_BogGyver_openpilot_GitHub,719.2955,,
model_explorer_mnasnet_1.0_192_71bfa7b63a1a08477991fb468762ea4a_TFHub,1541.168,,
model_explorer_MobileStyleGAN_97ee8f4ce997135b6de496d9589b2564_PINTO,2303.246,,
model_explorer_NahidEbrahimian_Face-Mask-Detection_GitHub,837.5937,,
model_explorer_person-vehicle-bike-detection-crossroad-1016_8e88cce1386f3e5f604fd18cb1d7c584_PINTO_11,221.6696,,
model_explorer_yolov5n_leaky_local_model,144.2897,,
model_explorer_mobilenet_v1_0.50_192_quantized_a7878c246464859682e78b9d9388b91e_TFHub,1555.91,,
model_explorer_yolov5n_leaky_320_local_model,568.2818,,
model_explorer_hf-internal-testing_tiny-random-resnet_1c891d4e83bfef5f823672e05e771592_HuggingFace,973.9681,,
model_explorer_hanyax_simd_gpu_profilling_GitHub,302.4965,,
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_7,1089.546,,
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_6,1086.124,,
model_explorer_EfficientNet-EdgeTpu(S)_b4cd2655bde79755842e717d3a6cad08_Coral,398.2499,,
model_explorer_mobilenet_v1_0.25_160_2506467930e73a4084629094c8a3debf_TFHub,2065.527,,
model_explorer_deeplab_v3_plus_mobilenetv2_local_model,401.3641,,
model_explorer_Sao-jung-listens-well_WIT_GitHub_8,461.6296,,
model_explorer_EfficientNetB0_911d0527aad9dd549d917351bbeea0fc_OpenVINO,475.4237,,
model_explorer_RTMPose_Animal_8950a3d36a958cf6533d3b1afd0224c2_PINTO_2,242.7254,,
model_explorer_quarrying_quarrying-insect-id_GitHub_1,1099.697,,
model_explorer_spokestack_app-actions-example_GitHub_3,2326.503,,
model_explorer_thawro_yolov8-digits-detection_GitHub_1,894.0646,,
model_explorer_mobilenet_v1_1.0_160_b3e059bfa5576e6c58c723baffcb6c25_TFHub,2071.374,,
model_explorer_openvinotoolkit_vpux_plugin_GitHub,275.5312,,
model_explorer_TiVo_dts-studio_GitHub_14,329.8443,,
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_d2482d40e214f2b9cc1a6d3118e1c7d6_TFHub,1070.794,,
model_explorer_vehicle-license-plate-detection-barrier-0106_e5a332ce547ffd8c098f0f501d38af08_PINTO,561.2096,,
model_explorer_MobileNetv1BodyPix_0e700892756f0f4a71a8ba7ce9f0f303_Coral,222.5824,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_9,218.6911,,
model_explorer_rsandrini_dnd-dice-detection-cnn_GitHub,88.84475,,
model_explorer_mp_pose_detection_local_model,297.2399,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_20,1107.394,,
model_explorer_pedestrian-and-vehicle-detector-adas-0001_bcd1c88a2dba6381fa7b8ad3c5e888f0_PINTO_4,232.3253,,
model_explorer_yolo3_mobilenet_lite_416_coco_local_model,257.0308,,
model_explorer_U-NetMobileNetv2_ad29c3d316648c034fa1579828bb6a20_Coral,168.2447,,
model_explorer_Laknath1996_sEMG-Hand-Gesture-Recognition_GitHub,2316.294,,
model_explorer_EfficientNet-EdgeTpu(M)*_17ca9e21b8ca571bfec4cb7ea8689297_Coral,276.9765,,
model_explorer_magenta_arbitrary-image-stylization-v1-256_c15660b2ef37bf02c8b1a472d7e32e41_TFHub,894.5803,,
model_explorer_kaiidams_TransferLearningAudio_GitHub,2438.237,,
model_explorer_efficientnet_lite2_classification_d264cde8b3621c44bd0a23c2f8682479_TFHub,722.4205,,
model_explorer_yolox_s_416x416_ti_lite_local_model,113.2605,,
model_explorer_InceptionV3_0168ae4c9dddd3c9473d4c5a93d1a070_Coral,457.635,,
model_explorer_openvinotoolkit_openvino_GitHub_6,2313.458,,
model_explorer_onnx_models_GitHub_140,334.5872,,
model_explorer_openvinotoolkit_openvino_GitHub_21,2272.668,,
model_explorer_yolov8n-cls_local_model,1085.637,,
model_explorer_Light-SERNet_521ccf093256c61a558f00016e572873_PINTO_2,1500.673,,
model_explorer_onnx_models_GitHub_76,982.3195,,
model_explorer_PyDNet_e019cd5269fcdd2b8fedc1a4f5aca5a9_PINTO_8,285.5432,,
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_7,1069.799,,
model_explorer_vehicle-detection-0200_ddcdbc50476adbba978b19992a5bbcd7_PINTO_6,898.5254,,
model_explorer_yuradanyliuk_AutomaticParking_GitHub_1,2528.304,,
model_explorer_yolov7_tiny_416_local_model,298.9477,,
model_explorer_person_attr_resnet_v1_18_569247e0d0041dd5716b6a8248c94031_Hailo,292.7414,,
model_explorer_DroNet_4c91321c4eb865ee138024b6ac86faa1_PINTO_1,163.7214,,
model_explorer_MobileNetV2_29e4e4933c88b4e6febf49573b706bf9_Coral,1090.525,,
model_explorer_opencv_opencv_zoo_GitHub_1,61.33353,,
model_explorer_daniel-civitaramirez_CS147-FacialExpressionRecognition_GitHub,300.242,,
model_explorer_googlenet_local_model,639.3499,,
model_explorer_ankurdave_bird-models_GitHub_3,147.7386,,
model_explorer_asus4_tf-lite-unity-sample_GitHub_6,260.5669,,
model_explorer_rachidelfe_CNN-MGP-SCRIPT_GitHub_1,260.6848,,
model_explorer_gitguige_openpilot0.8.9_GitHub_1,713.4034,,
model_explorer_SynergyNet_bd634b56ca115616db0e1cc2a0459f5d_PINTO,2378.716,,
model_explorer_DeepSort_a96c756fb0475d2681df6eaede1152f9_PINTO_2,850.6736,,
model_explorer_repvgg_a0_person_reid_2048_9f5724a7b3fa3b84f78ad838d90243b7_Hailo,454.2951,,
model_explorer_lightcnn_v4_local_model,461.8656,,
model_explorer_pedestrian-detection-adas-0002_fccc5d01ea5d57fc1538f04c628c26b4_PINTO_4,233.3618,,
model_explorer_unet_local_model,107.7862,,
model_explorer_NSFW_a14729dd4a8a86ef5a46be3f464b78a2_PINTO_11,956.85,,
model_explorer_onnx_models_GitHub_85,302.4986,,
model_explorer_samuelkim7_pneumonia_cnn_GitHub,216.8924,,
model_explorer_Harp0n_DermaApp_GitHub,1100.739,,
model_explorer_yolov5n_seg_83812029796508bc2cd73bcaa7587de8_Hailo,80.77648,,
model_explorer_EfficientNet-EdgeTpu(M)_4372bddc60264ac65a5723a53c695d8e_Coral,349.203,,
model_explorer_mobilenetv2-poseestimation_edb5790df28ac1d501eaa1601440f0d5_PINTO_8,265.4419,,
k_real_mobilenetv3_large_minimalistic_performance,1068.494,,
model_explorer_MobileNetV2_82e6ff5236e4d328f331e9305b287043_KerasApps,1066.267,,
model_explorer_SuavePirate_FaceONNX.Models_GitHub_6,456.3997,,
model_explorer_mobilenet_v1_0.75_224_quantized_1c5fec829ef37f96cbc155fc1223bb21_TFHub,1007.623,,
model_explorer_mp_object_detection_3d_chair_local_model,1070.172,,
model_explorer_RedisAI_redisai-examples_GitHub_1,147.0434,,
model_explorer_slayerkenneth_FYP_BoAR_PSAN2_38_GitHub,261.0624,,
model_explorer_adrianlachowicz_RESISC-Classifier_GitHub,339.1554,,
model_explorer_repvgg_b0_local_model,258.1553,,
model_explorer_arithescientist_aidiagnosis_GitHub,148.5861,,
model_explorer_MobileNetV2_453e476449b6ac28463010feb9111eae_Coral,1077.299,,
model_explorer_PoseNetMobileNetV1_0be3629a51c40e6b971ddbc893fcdc6f_Coral,355.8204,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_26,213.4289,,
model_explorer_octoml_octoml-examples_GitHub_5,261.0082,,
model_explorer_mobilenet_v2_1.0_224_3b69ca6cbfbde163c5fa8cbb60cb197f_TFHub,1065.843,,
model_explorer_EfficientNetV2B1_b716bd2ae5d186e73b6e4d75e7abfe37_KerasApps,360.7516,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_2,1071.257,,
model_explorer_Vaish1591_Rice-Leaf-Disease-Analyzer_GitHub,1107.132,,
k_real_mobilenetv3_large_performance,1077.117,,
model_explorer_yolov7_tiny_320_local_model,494.8805,,
model_explorer_dong-haha_deeplearning_javaweb_GitHub_2,112.1927,,
model_explorer_slayerkenneth_FYP_BoAR_PSAN2_38_GitHub_3,261.1353,,
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_1,1762.764,,
model_explorer_onnx_models_GitHub_14,321.9977,,
model_explorer_squeezedet_kitti_local_model,125.4125,,
model_explorer_MobileNetv1BodyPix_5698be0fc6d327cd25696ec305f63317_Coral,193.229,,
model_explorer_jasr88_object-detection_GitHub,172.6957,,
model_explorer_WHENet_2f83111daad55806e6a32ef0c0879264_PINTO_5,478.5874,,
model_explorer_unet_ultrasound_local_model,344.2367,,
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_4,172.6671,,
model_explorer_RegNetY008_b0a05c341a700a3f3a2592d353726480_KerasApps,81.75388,,
model_explorer_mp_palm_detection_full_local_model,329.9307,,
model_explorer_owulveryck_khappygo_GitHub,425.7718,,
model_explorer_jdunns_w251_hw6_GitHub,292.7846,,
model_explorer_onnx_models_GitHub,322.018,,
model_explorer_PoseNetMobileNetV1_3d03366578b0ae2fb0a122b2146273c0_Coral,192.5542,,
model_explorer_EfficientNetV2B0_e61c107c0e66aa1038cc4a78f93f4ba3_KerasApps,721.5237,,
model_explorer_AOD-Net_e04d02afa1538a23305586dc856ddea4_PINTO_41,41.60949,,
model_explorer_Azure-Samples_IoTDemos_GitHub,172.6346,,
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_11,306.7603,,
model_explorer_onnx_models_GitHub_97,261.0549,,
model_explorer_nilshoffmann_biohackathon2022-fair-ml-biomodels_GitHub,261.0488,,
model_explorer_MagicTouch_47ddfca4a4070bc0f7538be7fc9309ed_PINTO_3,99.40825,,
model_explorer_yolox_nano_local_model,360.866,,
model_explorer_mobilenet_yolo_v4_syg_local_model,130.3066,,
model_explorer_yolov5s_leaky_320_local_model,341.8331,,
model_explorer_mp_palm_detection_lite_local_model,504.0558,,
model_explorer_octoml_triton-modelanalyzer-experiments_GitHub_3,90.81062,,
model_explorer_osnet_x1_0_f2670ac8a795cd26fda7552a98c3916a_Hailo,183.3418,,
model_explorer_anti-spoof-mn3_c3839b272059af5c2736beddd7811eb4_PINTO_1,2256.47,,
model_explorer_EfficientNetV2B0_a3d46b5b236c07e20763005aed20c700_OpenVINO,719.8755,,
model_explorer_MobileNetv1BodyPix_6117de7a8e5551b565f6e248aca6bc12_Coral,358.756,,
model_explorer_gernet_m_local_model,108.5676,,
model_explorer_YOLOv5_Face_36483c4542b0ef195191ad8329579095_PINTO_6,484.2049,,
model_explorer_yinguobing_head-pose-estimation_GitHub,567.9729,,
model_explorer_unet_lane_local_model,201.6469,,
model_explorer_efficientnet_lite3_classification_3da0429747656b36cbce6b0ee2f51251_TFHub,503.047,,
model_explorer_yeahaluu_Public_Sinsunai_GitHub_1,60.82103,,
model_explorer_onnx_models_GitHub_62,321.9427,,
model_explorer_yolov5xs_wo_spp_nms_core_9d0e38032c9383042d99a3ec5f55f5c7_Hailo,175.1908,,
model_explorer_yolov8m-cls_local_model,226.3543,,
model_explorer_RegNetY006_1b81d8e4c8b2965a3f6cc22e188c85b9_KerasApps,240.2879,,
model_explorer_mp_object_detection_3d_sneakers_1stage_local_model,184.7983,,
model_explorer_naruto_handsign_detection_922515cecfa85eae99fc2b348f04d906_PINTO_4,363.1569,,
model_explorer_espcn_local_model,70.38509,,
model_explorer_MobileNetv1BodyPix_d42e48e55a527b4979eb996c7bfbb427_Coral,135.0842,,
model_explorer_owulveryck_khappygo_GitHub_1,147.0507,,
model_explorer_hayden-donnelly_ntg-unity_GitHub_3,58.70727,,
model_explorer_efficientnet_lite4_classification_5360297cefc31c93e9e7afa490425488_TFHub,157.3804,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_24,213.6572,,
model_explorer_yolox_tiny_ti_lite_local_model,182.0241,,
model_explorer_SSDLiteMobileDet_7c6516d9991656262211aa6a99aeeb63_Coral,506.0965,,
model_explorer_JulianFeinauer_test123_GitHub,95.0936,,
model_explorer_NanoDetPluswithShuffleNetV21.5x.size=416_52ee42792e04e941adcb82ef893d7082_OpenVINO,144.0111,,
model_explorer_hayden-donnelly_ntg-unity_GitHub_5,58.7045,,
model_explorer_person-detection-0202_8cb56f61510a31aeb7a480507c37af72_PINTO_11,222.4558,,
model_explorer_gpunet0_local_model,222.4336,,
model_explorer_person-vehicle-bike-detection-crossroad-0078_fdbe0420db93fe684dbf99bd4657e904_PINTO,54.47817,,
model_explorer_DLA34_62a93fa88317c8a6fdbf29796cd60c29_OpenVINO,190.7497,,
model_explorer_tiny_yolov2_local_model,261.0093,,
model_explorer_nvidia_super_res_local_model,40.47785,,
model_explorer_yolov6n_0.2.1_24df965c49f689e0e995a3de172fea67_Hailo,145.8264,,
model_explorer_uwsbel_autonomy-research-testbed_GitHub,65.97691,,
model_explorer_sayedmohamedscu_YOLO-v5-Door-detection-for-visually-impaired-people_GitHub,87.97589,,
model_explorer_Mobilenet-yolo-v4-syg_538a480717c36126e57d259c25772d85_OpenVINO,130.3034,,
model_explorer_yolox_tiny_34697d4032cefac72fc123fd4f949327_Hailo,215.6935,,
model_explorer_nanodet_repvgg_ec3af6f8c42734f27e161468b4e32caf_Hailo,195.882,,
model_explorer_teplandr_Visioneer_GitHub_2,216.321,,
model_explorer_unet_mobilenet_v2_256_local_model,42.12239,,
model_explorer_mp_object_detection_3d_chair_1stage_local_model,184.756,,
model_explorer_yolox_tiny_local_model,216.3765,,
model_explorer_MagicTouch_47ddfca4a4070bc0f7538be7fc9309ed_PINTO_1,99.4446,,
model_explorer_octoml_triton-modelanalyzer-experiments_GitHub_1,132.6698,,
model_explorer_opencv_opencv_zoo_GitHub_17,39.09428,,
model_explorer_SCL-LLE_f7aeed7e07f078e4efa345c7c6b3f790_PINTO_10,114.9284,,
