Model,Result,FPS
k_real_chess_alphazero_community_performance_cascade_plus4x_uuid_7d42e8e8-c027-11ee-87fc-a3bdde689303, PASS, 2084.177991999801
k_real_colornet_performance_cascade_plus4x_uuid_dbf26c7e-c01d-11ee-87fc-a3bdde689303, PASS, 56.108155412874055
k_real_dce_performance_cascade_plus4x_uuid_5ddc71b0-c034-11ee-87fc-a3bdde689303, PASS, 86.82712304254635
k_real_deblur_gan_performance_cascade_plus4x_uuid_93a0ffae-c035-11ee-87fc-a3bdde689303, PASS, 25.97181352227191
k_real_deep_q_atari_breakout_performance_cascade_plus4x_uuid_48a0fd7c-c019-11ee-87fc-a3bdde689303, PASS, 2813.5151633048695
k_real_densenet121_performance_cascade_plus4x_uuid_cfb55128-c01e-11ee-87fc-a3bdde689303, PASS, 734.4975168288258
k_real_efficientnetb0_performance_cascade_plus4x_uuid_cc60ed38-c01a-11ee-87fc-a3bdde689303, PASS, 672.644871173948
k_real_efficientnetb1_performance_cascade_plus4x_uuid_31bca82c-c023-11ee-87fc-a3bdde689303, PASS, 702.7777312346477
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_da9c6c5c-c041-11ee-87fc-a3bdde689303, PASS, 900.4884269646035
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_0c92847e-c03a-11ee-87fc-a3bdde689303, PASS, 842.7644850949598
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_a53d4e18-c033-11ee-87fc-a3bdde689303, PASS, 633.6945765175311
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_eb2ebe72-c022-11ee-87fc-a3bdde689303, PASS, 452.38433703102504
k_real_espcn_performance_cascade_plus4x_uuid_aa520eea-c018-11ee-87fc-a3bdde689303, PASS, 119.2722474677101
k_real_expression_vgg13_performance_cascade_plus4x_uuid_aa520a8a-c018-11ee-87fc-a3bdde689303, PASS, 658.1902179371297
k_real_googlenet_performance_cascade_plus4x_uuid_ae234ce0-c02d-11ee-87fc-a3bdde689303, PASS, 995.1276916798739
k_real_inceptionv2_performance_cascade_plus4x_uuid_225bd37a-c04c-11ee-87fc-a3bdde689303, PASS, 903.4658349237258
k_real_inceptionv3_performance_cascade_plus4x_uuid_f6e67e3a-c027-11ee-87fc-a3bdde689303, PASS, 440.12369580569646
k_real_jumpnet_101_performance_cascade_plus4x_uuid_a373b4f0-c029-11ee-87fc-a3bdde689303, PASS, 194.98224414154294
k_real_jumpnet_performance_cascade_plus4x_uuid_67c9a8ba-c047-11ee-87fc-a3bdde689303, PASS, 113.54470681519354
k_real_mbllen_lowlight_with_noise_performance_cascade_plus4x_uuid_5eb06592-c043-11ee-87fc-a3bdde689303, PASS, 8.336730361043903
k_real_mobilenetv1_0p25_performance_cascade_plus4x_uuid_aa5201f2-c018-11ee-87fc-a3bdde689303, PASS, 2825.7981930754772
k_real_mobilenetv1_0p50_performance_cascade_plus4x_uuid_76b15f0e-c028-11ee-87fc-a3bdde689303, PASS, 2135.9950703543946
k_real_mobilenetv1_0p75_performance_cascade_plus4x_uuid_e8d1754c-c037-11ee-87fc-a3bdde689303, PASS, 1536.0937557223951
k_real_mobilenetv1_performance_cascade_plus4x_uuid_fec01ae2-c02e-11ee-87fc-a3bdde689303, PASS, 1043.5383187661564
k_real_mobilenetv2_performance_cascade_plus4x_uuid_23b36b18-c022-11ee-87fc-a3bdde689303, PASS, 1040.5843124801524
k_real_mobilenetv3_large_minimalistic_performance_cascade_plus4x_uuid_dd719a04-c025-11ee-87fc-a3bdde689303, PASS, 1067.7582774544696
k_real_mobilenetv3_large_performance_cascade_plus4x_uuid_d9b1f63c-c018-11ee-87fc-a3bdde689303, PASS, 1008.5031282009359
k_real_mobilenetv3_small_minimalistic_performance_cascade_plus4x_uuid_cdb98316-c02e-11ee-87fc-a3bdde689303, PASS, 1047.56509967881
k_real_mobilenetv3_small_performance_cascade_plus4x_uuid_4d85f876-c049-11ee-87fc-a3bdde689303, PASS, 994.2949527898217
k_real_nvidia_super_res_performance_cascade_plus4x_uuid_d44b7eb2-c03f-11ee-87fc-a3bdde689303, PASS, 31.573326973959613
k_real_pspnet_performance_cascade_plus4x_uuid_fa828dee-c046-11ee-87fc-a3bdde689303, PASS, 116.4660960778428
k_real_resnet34_v1_performance_cascade_plus4x_uuid_9adcedd4-c029-11ee-87fc-a3bdde689303, PASS, 1032.87119350279
k_real_resnet50_performance_cascade_plus4x_uuid_1860c886-c032-11ee-87fc-a3bdde689303, PASS, 847.091137491871
k_real_resnet50_v2_performance_cascade_plus4x_uuid_6aed442e-c039-11ee-87fc-a3bdde689303, PASS, 652.0822677261328
k_real_speech_enhancement_unet_performance_cascade_plus4x_uuid_5a96ddc2-c027-11ee-87fc-a3bdde689303, PASS, 1107.3309818995924
k_real_squeezenet_bypass_performance_cascade_plus4x_uuid_f30b99ba-c01f-11ee-87fc-a3bdde689303, PASS, 798.741606584475
k_real_squeezenet_complex_performance_cascade_plus4x_uuid_82bb3d86-c03e-11ee-87fc-a3bdde689303, PASS, 696.491062013766
k_real_squeezenet_performance_cascade_plus4x_uuid_d2b83ad4-c037-11ee-87fc-a3bdde689303, PASS, 1065.2958178613337
k_real_unetplusplus_performance_cascade_plus4x_uuid_ccd4c654-c047-11ee-87fc-a3bdde689303, PASS, 207.62719709243987
k_real_unet_lane_performance_cascade_plus4x_uuid_578e3854-c037-11ee-87fc-a3bdde689303, PASS, 365.42943122949293
k_real_unet_mobilenet_performance_cascade_plus4x_uuid_517ed81c-c026-11ee-87fc-a3bdde689303, PASS, 241.89064728452155
k_real_unet_performance_cascade_plus4x_uuid_0498e914-c03c-11ee-87fc-a3bdde689303, PASS, 268.56591457866574
k_real_unet_ultrasound_performance_cascade_plus4x_uuid_d5301ab8-c049-11ee-87fc-a3bdde689303, PASS, 568.8557118115127
k_real_xception_performance_cascade_plus4x_uuid_5dd6d6c6-c019-11ee-87fc-a3bdde689303, PASS, 314.25657931706223
k_real_yolo3_mobilenet_lite_416_coco_performance_cascade_plus4x_uuid_e22f3b1e-c020-11ee-87fc-a3bdde689303, PASS, 139.67897477601866
k_real_yolov1_tiny_performance_cascade_plus4x_uuid_81663732-c03f-11ee-87fc-a3bdde689303, PASS, 336.26742948035456
k_real_yolov3_tiny_performance_cascade_plus4x_uuid_69abf2b6-c022-11ee-87fc-a3bdde689303, PASS, 249.6976638827256
onnx_real_bisenet_performance_cascade_plus4x_uuid_8a5807b6-c027-11ee-87fc-a3bdde689303, PASS, 147.62027945865225
