model,chips,fps
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_2,4,2563.6
model_explorer_repvgg_a2_d960ba93ba3297d9e18151f7c7e99331_Hailo,4,253.4
model_explorer_eye_contact_resnet_local_model,4,324.4
model_explorer_onnx_models_GitHub_16,4,381.6
model_explorer_torinos-yt_VL.Onnx_GitHub_2,4,381.7
model_explorer_ssd_inceptionv2_local_model,4,21.4
model_explorer_xmartlabs_malaria-detector_GitHub_2,4,1256.9
model_explorer_ResNet-50_b75c106f8c19d3461e91923f8ed0d6f6_Coral,4,405.0
model_explorer_tensil-ai_tensil-models_GitHub,4,381.6
model_explorer_tcyrus_waifu2x-onnx_GitHub_20,4,173.2
model_explorer_ivadym_FER_GitHub,4,782.8
model_explorer_hanyax_simd_gpu_profilling_GitHub_1,4,381.6
model_explorer_ResNet50_9089c3c5d63d9f9e2826bc1bc2db3846_KerasApps,4,632.0
model_explorer_onnx_models_GitHub_99,4,381.6
model_explorer_RegNetX016_70452eb95279e9cf948e68f8e212616e_KerasApps,4,212.2
model_explorer_cam-owen_cat-classifier_GitHub,4,437.5
model_explorer_Pratimaku123_Heroku_Deployment_1_GitHub,4,629.2
model_explorer_resnet_v2_34_dd80dd34fdf7105bbb294d5314a9f847_Hailo,4,256.3
model_explorer_SuavePirate_FaceONNX.Models_GitHub_1,4,300.6
model_explorer_onnx_models_GitHub_91,4,600.7
model_explorer_InceptionV3_9aa9b9aa0dbb61ffb09146567326a1f1_Coral,4,246.6
model_explorer_SwaggyMacro_MiraiNsfwBot_GitHub_2,4,246.1
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub,4,392.9
model_explorer_regnetx_1.6gf_2933ae5ea7b06c154595a3f3051a1664_Hailo,4,232.4
model_explorer_ARRARIAKU2_Implementation_Heart_Segmentation_GitHub,4,53.5
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_2,4,324.4
model_explorer_Hashara_chest-radiography-analysis-web-app_GitHub_1,4,438.7
model_explorer_xiongjiamu_test_repo_GitHub_4,4,381.6
model_explorer_InceptionV3_3447a75b55204c519f77b2f645ec6af0_KerasApps,4,245.1
model_explorer_Hashara_chest-radiography-analysis-web-app_GitHub,4,515.8
model_explorer_hardnet68_3c28f09ad9515b77835a0b7a598d3406_Hailo,4,68.1
model_explorer_onnx_models_GitHub_122,4,600.7
model_explorer_arcface_r50_e4f91747a6d2a4a98c2596a4ed6f2160_Hailo,4,255.9
model_explorer_Inception(GoogleNet)V3_f45304cc453a887cbac71b9753ae6adb_OpenVINO_1,4,246.7
model_explorer_DenseNet169_154d055ebe32c9a17643b073a199def8_KerasApps,4,327.6
model_explorer_efficientdet_lite1_detection_c8589fb4bc9ddaba373c580e45c5c502_TFHub,4,150.3
model_explorer_inception_v3_640c44027e6dedd87cf767855d92e54d_TFHub,4,246.7
model_explorer_dnutiu_image-tagger_GitHub_1,4,328.6
model_explorer_simon-mo_fijit-sys_GitHub_1,4,381.6
model_explorer_repvgg_a2_local_model,4,251.3
model_explorer_ResNet50V2_58d395191ab578dfc8371e8138e49ad6_KerasApps,4,381.6
model_explorer_WildMeOrg_scoutbot_GitHub_4,4,324.4
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub_1,4,392.8
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_10,4,150.3
model_explorer_siabang35_Capstone-PlantGenius_GitHub,4,825.1
model_explorer_lraspp_mobilenet_v3_large_local_model,4,150.6
model_explorer_onnx_models_GitHub_50,4,256.3
model_explorer_ResNet34_ae49104e07f6719634956c5eeb091ddf_OpenVINO,4,256.7
model_explorer_efficientdet_lite1_701e7dc154daa4861d473f715fdf5edf_Hailo,4,149.7
model_explorer_pix2depth_local_model,4,51.3
model_explorer_Inception(GoogleNet)V3_f45304cc453a887cbac71b9753ae6adb_OpenVINO,4,246.7
model_explorer_TerraceCN_morecats_GitHub_1,4,113.0
model_explorer_onnx_models_GitHub_13,4,381.6
model_explorer_yolov8l-cls_local_model,4,138.9
model_explorer_mp_pose_landmark_heavy_local_model,4,57.9
model_explorer_ajeetkbhardwaj_Covid-and-Pneumonia-Detection-Web-Application-Using-X-ray_Image_GitHub,4,286.9
model_explorer_TiVo_dts-studio_GitHub_9,4,58.5
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_16,4,217.0
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_15,4,217.0
model_explorer_onnx_models_GitHub_51,4,330.4
model_explorer_opencv_opencv_zoo_GitHub_29,4,381.6
model_explorer_chantya127_CNN_GitHub,4,520.1
model_explorer_RegNetY016_0fc16229b596bf2eca489852f3332feb_KerasApps,4,159.8
model_explorer_PacktPublishing_Deep-Learning-using-Keras---A-Complete-and-Compact-Guide-for-Beginners_GitHub,4,59.6
model_explorer_pspnet_resnet50_local_model,4,203.7
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_28,4,75.1
model_explorer_xception_local_model,4,180.7
model_explorer_Yogita98_Cardiac-Arrhythmia-Classification_GitHub,4,180.5
model_explorer_Xception_89d4f901d47fbecc911f1426780a289f_KerasApps,4,180.6
model_explorer_Erfnet_5555651f3b5f04dd34c307b9043d0973_OpenVINO,4,103.3
model_explorer_densenet_06def97e1342f0046b6bab6e90d872b6_TFHub,4,393.9
model_explorer_yolov5m_leaky_416_local_model,4,157.3
model_explorer_ACR-Loss_4e93bc740122b8c4fa1a02160a42912b_PINTO_28,4,305.6
model_explorer_Inception-ResNetV2_82a41c9efa057769be65c30245feeb03_OpenVINO,4,128.1
model_explorer_DenseNet201_71b6e7ff420ac17cb054113df285f2df_KerasApps,4,136.0
model_explorer_yolox_m_416x416_ti_lite_local_model,4,87.0
model_explorer_jumpnet_101_local_model,4,118.4
model_explorer_AbdulAleem11_Medical-Diagnosis-Deployment_GitHub,4,59.7
model_explorer_PoseNetResNet-50_e28dbcf225d1187d0d5188af72a3093a_Coral,4,70.4
model_explorer_YOLOv7_7743fef1c7345875f488021f5d3c70d0_PINTO_7,4,66.6
model_explorer_Surat-96_A-E2E-Covid19-Prediction_GitHub_1,4,59.7
model_explorer_ResNet-50BodyPix_79654ed1a30a61fc1128541f0d3887c2_Coral,4,153.5
model_explorer_HRNet_758ce51b9b2763b009130567e0cbef44_PINTO_2,4,72.0
model_explorer_zakutnyaya_ros-eco-simulation_GitHub,4,40.4
model_explorer_adcimon_mocap-vfx_GitHub,4,80.8
model_explorer_centernet_resnetv1_fpn_local_model,4,40.1
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_6,4,89.9
model_explorer_centernet_resnet_512_local_model,4,40.4
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_9,4,89.9
model_explorer_EfficientNetV2B3_978ba9e4f25755763c3840677cd86000_KerasApps,4,344.3
model_explorer_EPCDepth_e4bdcd94a6b22163f73c22e9545e32d2_PINTO,4,42.0
model_explorer_quarrying_quarrying-celebrity-id_GitHub_2,4,53.8
model_explorer_joncoons_Manufacturing-Vision-Accelerator-ARM64v8-v2-Jetpack-5-02_GitHub_10,4,89.9
model_explorer_tranvuongquocdat_CV_Lab_Polyp_Segmentation_GitHub,4,63.4
model_explorer_yolov5m_leaky_local_model,4,69.5
model_explorer_PMN_1b7efe05bf702c8dbc674de90b374981_PINTO_10,4,40.3
model_explorer_yolov5m_wo_spp_fa92bb05bcd3f32bff885c0093e6d766_Hailo,4,83.5
model_explorer_ankurdave_bird-models_GitHub_2,4,31.2
model_explorer_yolov5m_6.1_1119d0ed4df1992fce71b5da4216b543_Hailo,4,75.3
model_explorer_PoseNetResNet-50_884891e4fa763ab7da01b7d6a17889da_Coral,4,102.2
model_explorer_centerpose_regnetx_800mf_71318b852ef5c9996b983e8025b8fbf2_Hailo,4,14.6
model_explorer_yolov5m_seg_d0af0dc8f8aeacc248e8d8692e229d9b_Hailo,4,29.4
model_explorer_ResNet-50BodyPix_e2e8f6bb615decae2137620270606f03_Coral,4,102.4
model_explorer_GuillaumeGuebin_OttawaGreenspacesComparisons_GitHub,4,46.4
model_explorer_colornet_local_model,4,69.5
model_explorer_RetinaFacewithResNet50_0ec588d020e8000f87e22bb84ae8be94_OpenVINO,4,29.0
model_explorer_yolov5m_301e81c7f1180bc81c28e029f768cc0b_Hailo,4,72.8
model_explorer_yolox_m_ti_lite_local_model,4,63.3
model_explorer_YOLOv7_7743fef1c7345875f488021f5d3c70d0_PINTO_5,4,19.0
model_explorer_teplandr_Visioneer_GitHub_3,4,47.9
model_explorer_yolox_m_local_model,4,47.9
model_explorer_F-Clip_2890da2ddc72dc249dcb837c5a167c11_PINTO_1,4,52.1
model_explorer_yolov5s6_6.1_a5fe478896431cce0f722a851b28dba6_Hailo,4,21.8
model_explorer_F-Clip_2890da2ddc72dc249dcb837c5a167c11_PINTO_2,4,52.1
model_explorer_ResNet-50BodyPix_acbd898d80e8a23ffa46e787b5cd69b7_Coral,4,72.4
model_explorer_yolov8m_e19e8923e02af82fdf63abd7401ee5fe_Hailo,4,26.8
model_explorer_PoseNetResNet-50_e8be690f4d6aa1a6bf03cf2faa8677d4_Coral,4,28.8
model_explorer_inferenceengine_shadernn_GitHub_2,4,17.0
model_explorer_zetane_viewer_GitHub_1,4,17.0
model_explorer_PoseNetResNet-50_229a4eeb60966f1621f5ec6e74946300_Coral,4,77.8
model_explorer_yolov8m_local_model,4,33.4
model_explorer_ResNet-50BodyPix_3297157132ce366c57fac7fc03cde825_Coral,4,53.4
model_explorer_PoseNetResNet-50_dde09c6a962f94f5ce7c11016958b55f_Coral,4,38.8
model_explorer_inferenceengine_shadernn_GitHub_6,4,17.0
model_explorer_zetane_viewer_GitHub_13,4,23.3
model_explorer_centerpose_regnetx_1.6gf_fpn_68cf72a8c6f7215ab147fb3de65e864f_Hailo,4,10.8
model_explorer_yolov8m_seg_051b9bba349c82e88bca509744aa12fe_Hailo,4,20.3
model_explorer_SSD_FPNMobileNetV1_1b6298677a798ba26fe0340734aef178_Coral,4,23.7
model_explorer_pavveu7_intel-ai4y_GitHub,4,45.6
model_explorer_PoseNetResNet-50_8cec86e5cfad14de1c483f58cb63cbb1_Coral,4,35.7
model_explorer_ResNet-50BodyPix_25bfad96f9ab01f54b289b17cec1ae05_Coral,4,35.7
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_38,4,11.1
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_39,4,11.1
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_11,4,47.0
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_12,4,47.0
model_explorer_Tartisan_MMDet3d-PointPillars_GitHub_1,4,2.1
model_explorer_SSDwithResNet341200x1200_e0fe373c5642a180b66c7c70ef4d1419_OpenVINO,4,14.8
model_explorer_onnx_models_GitHub_7,4,14.9
model_explorer_zetane_viewer_GitHub_18,4,14.8
model_explorer_onnx_models_GitHub_82,4,14.8
