model,chips,fps
model_explorer_pri-avhad_CovidQ_GitHub,4,360.5
model_explorer_RishikSarkar_mood-tunes_GitHub,4,54.6
model_explorer_VehicleLicensePlateDetectionBarrier_92a6d2af0144f173ab695953c3f09093_OpenVINO,4,1381.2
model_explorer_Shaon2221_Fish-Disease-Detection_GitHub,4,1258.5
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_5,4,2563.6
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_3,4,2563.6
model_explorer_minhrongcon2000_mask-recognition_GitHub_1,4,595.1
model_explorer_xmartlabs_malaria-detector_GitHub,4,1257.0
model_explorer_tcyrus_waifu2x-onnx_GitHub_7,4,173.2
model_explorer_F4-DUT_BackEnd_GitHub,4,323.4
model_explorer_Tesipog_Accident_detection_GitHub,4,290.4
model_explorer_tcyrus_waifu2x-onnx_GitHub_30,4,173.4
model_explorer_vsjwonder_CNN_Malaria_Pred_Deploy_GitHub,4,1258.4
model_explorer_tcyrus_waifu2x-onnx_GitHub_25,4,173.2
model_explorer_vsahasrabudhe96_malaria-detect_GitHub,4,1463.6
model_explorer_DivyaArunthathiar_Alzheimer-Detection_GitHub,4,1249.2
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub,4,2563.6
model_explorer_regnetx_800mf_1bf85ea2b8041914d5a21c24c6d542de_Hailo,4,563.3
model_explorer_tcyrus_waifu2x-onnx_GitHub_28,4,173.0
model_explorer_krullgit_Farmero---Satellite-Image-Processing_GitHub_1,4,61.3
model_explorer_kevin866_hotdog866_GitHub,4,269.6
model_explorer_bmarko98_histopathologic-cancer-detection_GitHub,4,62.1
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub_2,4,521.2
model_explorer_srihari1212_pnuemonia_predic_GitHub,4,404.5
model_explorer_ANUSHKALA_EuroSAT-ResNet34_GitHub,4,558.1
model_explorer_opencv_opencv_zoo_GitHub_27,4,186.2
model_explorer_LeilaRanjbar82_LeilaRanjbar82_GitHub,4,733.5
model_explorer_RedisAI_redisai-examples_GitHub_2,4,646.8
model_explorer_mranaljadhav_harvestt_GitHub,4,373.8
model_explorer_RegNetX008_09d268e3512c833c2be9fff962453971_KerasApps,4,569.7
model_explorer_krullgit_Farmero---Satellite-Image-Processing_GitHub,4,61.3
model_explorer_sulaiman-kagumire_MCS7204-Deep-Learning-Project_GitHub,4,414.2
