#,Model,target_system,chips,Frames,Total Runs,Finished Runs,Min FPS,Max FPS,Avg FPS,Delta FPS,Min Latency,Max Latency,Avg Latency,Delta Latency,Commit,Start Time (UTC)
106,tfl_real_mp_object_detection_3d_sneakers_performance_cascade_plus,Cascade+,1,5,1,1,1007.1236162629306,1007.1236162629306,1007.1,-0.0,3.9748823529411763,3.9748823529411763,4.0,0.0,'5558f3e9a',2024-05-08 17:00:55
107,onnx_real_yolox_m_416x416_ti_lite_performance_cascade_plus,Cascade+,3,5,1,1,114.53289792499525,114.53289792499525,114.5,0.0,24.35790276110444,24.35790276110444,24.4,0.0,'5558f3e9a',2024-05-08 17:00:55
108,tf_real_efficientnet_tpu_m_performance_cascade_plus,Cascade+,1,5,1,1,178.19409165722217,178.19409165722217,178.2,0.0,18.680638655462182,18.680638655462182,18.7,0.0,'5558f3e9a',2024-05-08 17:00:55
109,onnx_real_yolov7_tiny_416_performance_cascade_plus,Cascade+,2,5,1,1,392.91933880118563,392.91933880118563,392.9,0.0,4.906088835534213,4.906088835534213,4.9,0.0,'5558f3e9a',2024-05-08 17:00:55
110,tfl_real_mp_object_detection_3d_chair_performance_cascade_plus,Cascade+,1,5,1,1,1007.1236162629306,1007.1236162629306,1007.1,-0.0,3.9748823529411763,3.9748823529411763,4.0,0.0,'5558f3e9a',2024-05-08 17:00:55
111,onnx_real_tiny_yolov2_performance_cascade_plus,Cascade+,2,5,1,1,491.32947976878614,491.32947976878614,491.3,0.0,3.482417767106843,3.482417767106843,3.5,0.0,'5558f3e9a',2024-05-08 17:00:55
112,tfl_real_midas_v2_small_performance_cascade_plus,Cascade+,2,5,1,1,44.91206185938309,44.91206185938309,44.9,-40.8,26.637268907563026,26.637268907563026,26.6,13.2,'5558f3e9a',2024-05-08 17:00:55
113,k_real_speech_enhancement_unet_performance_cascade_plus,Cascade+,1,5,1,1,371.9324502802665,371.9324502802665,371.9,0.0,2.8623829531812723,2.8623829531812723,2.9,0.0,'5558f3e9a',2024-05-08 17:00:55
114,onnx_real_repvgg_a2_performance_cascade_plus,Cascade+,3,5,1,1,365.62172591889345,365.62172591889345,365.6,0.0,8.221158463385354,8.221158463385354,8.2,0.0,'5558f3e9a',2024-05-08 17:00:55
115,k_real_mobilenetv3_large_minimalistic_performance_cascade_plus,Cascade+,1,5,1,1,1774.0144157305883,1774.0144157305883,1774.0,0.1,1.5629315726290516,1.5629315726290516,1.6,0.0,'5558f3e9a',2024-05-08 17:00:55
116,k_real_yolo3_mobilenet_lite_416_coco_performance_cascade_plus,Cascade+,1,5,1,1,84.18470123450851,84.18470123450851,84.2,0.0,14.647020408163266,14.647020408163266,14.6,0.0,'5558f3e9a',2024-05-08 17:00:55
117,pt_real_seresnet50_performance_cascade_plus,Cascade+,0,5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,'5558f3e9a',2024-05-08 17:00:55
118,onnx_real_retinanet_resnet_101_performance_cascade_plus,Cascade+,9,5,1,1,25.442448532377707,25.442448532377707,25.4,0.0,66.83935294117647,66.83935294117647,66.8,0.0,'5558f3e9a',2024-05-08 17:00:55
119,tf_real_ssd_inceptionv2_performance_cascade_plus,Cascade+,3,5,1,1,14.377326531471356,14.377326531471356,14.4,0.0,77.38344897959183,77.38344897959183,77.4,0.0,'5558f3e9a',2024-05-08 17:00:55
120,k_real_mobilenetv1_0p25_performance_cascade_plus,Cascade+,1,5,1,1,10580.73366527792,10580.73366527792,10580.7,0.0,0.21260024009603842,0.21260024009603842,0.2,0.0,'5558f3e9a',2024-05-08 17:00:55
121,tf_real_yolov5s_leaky_320_performance_cascade_plus,Cascade+,1,5,1,1,122.39386831698073,122.39386831698073,122.4,0.0,10.784129651860745,10.784129651860745,10.8,0.0,'5558f3e9a',2024-05-08 17:00:55
122,k_real_googlenet_performance_cascade_plus,Cascade+,2,5,1,1,986.9679940379076,986.9679940379076,987.0,-0.1,2.438585834333734,2.438585834333734,2.4,0.0,'5558f3e9a',2024-05-08 17:00:55
123,tfl_real_yolov8n_performance_cascade_plus,Cascade+,2,5,1,1,238.7294549015556,238.7294549015556,238.7,-0.5,7.999042016806722,7.999042016806722,8.0,0.0,'5558f3e9a',2024-05-08 17:00:55
124,tfl_real_mp_iris_landmark_performance_cascade_plus,Cascade+,2,5,1,1,14784.970092827603,14784.970092827603,14785.0,0.0,0.29731212484994,0.29731212484994,0.3,0.0,'5558f3e9a',2024-05-08 17:00:55
125,k_real_pix2depth_performance_cascade_plus,Cascade+,3,5,1,1,85.42775770390698,85.42775770390698,85.4,0.0,16.19540456182473,16.19540456182473,16.2,0.0,'5558f3e9a',2024-05-08 17:00:55
